nominal,data,curs,cdx
1,12/29/2024,101.6797,Доллар США
1,12/28/2024,100.5281,Доллар США
1,12/27/2024,99.2295,Доллар США
1,12/26/2024,99.6125,Доллар США
1,12/25/2024,99.8729,Доллар США
1,12/24/2024,101.6143,Доллар США
1,12/21/2024,102.3438,Доллар США
1,12/20/2024,103.4207,Доллар США
1,12/19/2024,102.7763,Доллар США
1,12/18/2024,102.9979,Доллар США
1,12/17/2024,102.9125,Доллар США
1,12/14/2024,103.4305,Доллар США
1,12/13/2024,103.9500,Доллар США
1,12/12/2024,103.2707,Доллар США
1,12/11/2024,100.0324,Доллар США
1,12/10/2024,99.3759,Доллар США
1,12/7/2024,99.4215,Доллар США
1,12/6/2024,103.3837,Доллар США
1,12/5/2024,104.2361,Доллар США
1,12/4/2024,106.1878,Доллар США
1,12/3/2024,107.1758,Доллар США
1,11/30/2024,107.7409,Доллар США
1,11/29/2024,109.5782,Доллар США
1,11/28/2024,108.0104,Доллар США
1,11/27/2024,105.0604,Доллар США
1,11/26/2024,103.7908,Доллар США
1,11/23/2024,102.5761,Доллар США
1,11/22/2024,100.6798,Доллар США
1,11/21/2024,100.2192,Доллар США
1,11/20/2024,100.0348,Доллар США
1,11/19/2024,99.9430,Доллар США
1,11/16/2024,99.9971,Доллар США
1,11/15/2024,99.0180,Доллар США
1,11/14/2024,98.3657,Доллар США
1,11/13/2024,97.9559,Доллар США
1,11/12/2024,97.9550,Доллар США
1,11/9/2024,97.8335,Доллар США
1,11/8/2024,98.0726,Доллар США
1,11/7/2024,98.2236,Доллар США
1,11/6/2024,98.0562,Доллар США
1,11/3/2024,97.5499,Доллар США
1,11/2/2024,97.4402,Доллар США
1,11/1/2024,97.0226,Доллар США
1,10/31/2024,97.0530,Доллар США
1,10/30/2024,97.3261,Доллар США
1,10/29/2024,97.2300,Доллар США
1,10/26/2024,96.6657,Доллар США
1,10/25/2024,96.7402,Доллар США
1,10/24/2024,96.6379,Доллар США
1,10/23/2024,96.5918,Доллар США
1,10/22/2024,96.0924,Доллар США
1,10/19/2024,96.4172,Доллар США
1,10/18/2024,97.1490,Доллар США
1,10/17/2024,97.2568,Доллар США
1,10/16/2024,97.0121,Доллар США
1,10/15/2024,96.1021,Доллар США
1,10/12/2024,96.0686,Доллар США
1,10/11/2024,97.2394,Доллар США
1,10/10/2024,96.9483,Доллар США
1,10/9/2024,96.1079,Доллар США
1,10/8/2024,96.0649,Доллар США
1,10/5/2024,94.8700,Доллар США
1,10/4/2024,95.0262,Доллар США
1,10/3/2024,94.5054,Доллар США
1,10/2/2024,93.3581,Доллар США
1,10/1/2024,93.2221,Доллар США
1,9/28/2024,92.7126,Доллар США
1,9/27/2024,92.4074,Доллар США
1,9/26/2024,92.3880,Доллар США
1,9/25/2024,92.8622,Доллар США
1,9/24/2024,92.9200,Доллар США
1,9/21/2024,92.5848,Доллар США
1,9/20/2024,92.6962,Доллар США
1,9/19/2024,91.6712,Доллар США
1,9/18/2024,91.4292,Доллар США
1,9/17/2024,91.1423,Доллар США
1,9/14/2024,90.9345,Доллар США
1,9/13/2024,91.1096,Доллар США
1,9/12/2024,91.2653,Доллар США
1,9/11/2024,91.1127,Доллар США
1,9/10/2024,90.3853,Доллар США
1,9/7/2024,89.8225,Доллар США
1,9/6/2024,89.7044,Доллар США
1,9/5/2024,88.9288,Доллар США
1,9/4/2024,88.6118,Доллар США
1,9/3/2024,90.0013,Доллар США
1,8/31/2024,91.1868,Доллар США
1,8/30/2024,91.4548,Доллар США
1,8/29/2024,91.4449,Доллар США
1,8/28/2024,91.4807,Доллар США
1,8/27/2024,91.7745,Доллар США
1,8/24/2024,91.6012,Доллар США
1,8/23/2024,91.2881,Доллар США
1,8/22/2024,91.6862,Доллар США
1,8/21/2024,90.6944,Доллар США
1,8/20/2024,89.5428,Доллар США
1,8/17/2024,88.9062,Доллар США
1,8/16/2024,88.7960,Доллар США
1,8/15/2024,90.0055,Доллар США
1,8/14/2024,92.6592,Доллар США
1,8/13/2024,89.9475,Доллар США
1,8/10/2024,87.9920,Доллар США
1,8/9/2024,86.5621,Доллар США
1,8/8/2024,85.9543,Доллар США
1,8/7/2024,85.1646,Доллар США
1,8/6/2024,84.9471,Доллар США
1,8/3/2024,85.7024,Доллар США
1,8/2/2024,85.7833,Доллар США
1,8/1/2024,86.1091,Доллар США
1,7/31/2024,86.3300,Доллар США
1,7/30/2024,86.5554,Доллар США
1,7/27/2024,85.5650,Доллар США
1,7/26/2024,85.4100,Доллар США
1,7/25/2024,86.5502,Доллар США
1,7/24/2024,87.2990,Доллар США
1,7/23/2024,87.7805,Доллар США
1,7/20/2024,88.0206,Доллар США
1,7/19/2024,87.8754,Доллар США
1,7/18/2024,88.0872,Доллар США
1,7/17/2024,88.2824,Доллар США
1,7/16/2024,87.8077,Доллар США
1,7/13/2024,87.7427,Доллар США
1,7/12/2024,87.9880,Доллар США
1,7/11/2024,87.8551,Доллар США
1,7/10/2024,88.0031,Доллар США
1,7/9/2024,88.1688,Доллар США
1,7/6/2024,88.1348,Доллар США
1,7/5/2024,88.1205,Доллар США
1,7/4/2024,87.9506,Доллар США
1,7/3/2024,87.9921,Доллар США
1,7/2/2024,87.2972,Доллар США
1,6/29/2024,85.7480,Доллар США
1,6/28/2024,84.9640,Доллар США
1,6/27/2024,87.8064,Доллар США
1,6/26/2024,87.2770,Доллар США
1,6/25/2024,87.3730,Доллар США
1,6/22/2024,87.9595,Доллар США
1,6/21/2024,85.4176,Доллар США
1,6/20/2024,82.6282,Доллар США
1,6/19/2024,87.0354,Доллар США
1,6/18/2024,89.0499,Доллар США
1,6/15/2024,89.0658,Доллар США
1,6/14/2024,88.2080,Доллар США
1,6/12/2024,89.0214,Доллар США
1,6/11/2024,88.9944,Доллар США
1,6/8/2024,88.7606,Доллар США
1,6/7/2024,88.7604,Доллар США
1,6/6/2024,88.7436,Доллар США
1,6/5/2024,88.7574,Доллар США
1,6/4/2024,89.3755,Доллар США
1,6/1/2024,90.1915,Доллар США
1,5/31/2024,89.7869,Доллар США
1,5/30/2024,89.2589,Доллар США
1,5/29/2024,88.4375,Доллар США
1,5/28/2024,88.6852,Доллар США
1,5/25/2024,89.7026,Доллар США
1,5/24/2024,90.2486,Доллар США
1,5/23/2024,90.1887,Доллар США
1,5/22/2024,90.4082,Доллар США
1,5/21/2024,90.6537,Доллар США
1,5/18/2024,90.9873,Доллар США
1,5/17/2024,90.9239,Доллар США
1,5/16/2024,91.2573,Доллар США
1,5/15/2024,91.3591,Доллар США
1,5/14/2024,91.6330,Доллар США
1,5/9/2024,91.8239,Доллар США
1,5/8/2024,91.1231,Доллар США
1,5/7/2024,91.3124,Доллар США
1,5/4/2024,91.6918,Доллар США
1,5/3/2024,92.0538,Доллар США
1,4/28/2024,91.7791,Доллар США
1,4/27/2024,92.0134,Доллар США
1,4/26/2024,92.1314,Доллар США
1,4/25/2024,92.5058,Доллар США
1,4/24/2024,93.2918,Доллар США
1,4/23/2024,93.2519,Доллар США
1,4/20/2024,93.4409,Доллар США
1,4/19/2024,94.0922,Доллар США
1,4/18/2024,94.3242,Доллар США
1,4/17/2024,94.0742,Доллар США
1,4/16/2024,93.5891,Доллар США
1,4/13/2024,93.4419,Доллар США
1,4/12/2024,93.7196,Доллар США
1,4/11/2024,93.2198,Доллар США
1,4/10/2024,92.7463,Доллар США
1,4/9/2024,92.5810,Доллар США
1,4/6/2024,92.4155,Доллар США
1,4/5/2024,92.3058,Доллар США
1,4/4/2024,92.3892,Доллар США
1,4/3/2024,92.5254,Доллар США
1,4/2/2024,92.2914,Доллар США
1,3/30/2024,92.3660,Доллар США
1,3/29/2024,92.2628,Доллар США
1,3/28/2024,92.5919,Доллар США
1,3/27/2024,92.5745,Доллар США
1,3/26/2024,92.7761,Доллар США
1,3/23/2024,92.6118,Доллар США
1,3/22/2024,91.9499,Доллар США
1,3/21/2024,92.6861,Доллар США
1,3/20/2024,92.2243,Доллар США
1,3/19/2024,91.9829,Доллар США
1,3/16/2024,91.8700,Доллар США
1,3/15/2024,91.6359,Доллар США
1,3/14/2024,91.5449,Доллар США
1,3/13/2024,90.8818,Доллар США
1,3/12/2024,90.6252,Доллар США
1,3/8/2024,90.7493,Доллар США
1,3/7/2024,90.3412,Доллар США
1,3/6/2024,91.1604,Доллар США
1,3/5/2024,91.3534,Доллар США
1,3/2/2024,91.3336,Доллар США
1,3/1/2024,90.8423,Доллар США
1,2/29/2024,91.8692,Доллар США
1,2/28/2024,92.0425,Доллар США
1,2/27/2024,92.6321,Доллар США
1,2/23/2024,92.7519,Доллар США
1,2/22/2024,92.4387,Доллар США
1,2/21/2024,92.3490,Доллар США
1,2/20/2024,92.4102,Доллар США
1,2/17/2024,92.5492,Доллар США
1,2/16/2024,91.8237,Доллар США
1,2/15/2024,91.4316,Доллар США
1,2/14/2024,91.2057,Доллар США
1,2/13/2024,91.0758,Доллар США
1,2/10/2024,90.8901,Доллар США
1,2/9/2024,91.2561,Доллар США
1,2/8/2024,91.1514,Доллар США
1,2/7/2024,90.6842,Доллар США
1,2/6/2024,91.2434,Доллар США
1,2/3/2024,90.6626,Доллар США
1,2/2/2024,90.2299,Доллар США
1,2/1/2024,89.6678,Доллар США
1,1/31/2024,89.2887,Доллар США
1,1/30/2024,89.6090,Доллар США
1,1/27/2024,89.5159,Доллар США
1,1/26/2024,88.6562,Доллар США
1,1/25/2024,88.2829,Доллар США
1,1/24/2024,87.9199,Доллар США
1,1/23/2024,87.9724,Доллар США
1,1/20/2024,88.5896,Доллар США
1,1/19/2024,88.6610,Доллар США
1,1/18/2024,88.3540,Доллар США
1,1/17/2024,87.6457,Доллар США
1,1/16/2024,87.6772,Доллар США
1,1/13/2024,88.1324,Доллар США
1,1/12/2024,88.7818,Доллар США
1,1/11/2024,89.3939,Доллар США
1,1/10/2024,90.4040,Доллар США
1,12/30/2023,89.6883,Доллар США
1,12/29/2023,90.3041,Доллар США
1,12/28/2023,91.7051,Доллар США
1,12/27/2023,91.7069,Доллар США
1,12/26/2023,91.9690,Доллар США
1,12/23/2023,91.9389,Доллар США
1,12/22/2023,91.7062,Доллар США
1,12/21/2023,90.4056,Доллар США
1,12/20/2023,90.0870,Доллар США
1,12/19/2023,90.4162,Доллар США
1,12/16/2023,89.6966,Доллар США
1,12/15/2023,89.6741,Доллар США
1,12/14/2023,89.8926,Доллар США
1,12/13/2023,90.2158,Доллар США
1,12/12/2023,90.9846,Доллар США
1,12/9/2023,91.6402,Доллар США
1,12/8/2023,92.5654,Доллар США
1,12/7/2023,92.7826,Доллар США
1,12/6/2023,91.5823,Доллар США
1,12/5/2023,90.6728,Доллар США
1,12/2/2023,89.7619,Доллар США
1,12/1/2023,88.5819,Доллар США
1,11/30/2023,88.8841,Доллар США
1,11/29/2023,88.6102,Доллар США
1,11/28/2023,88.7045,Доллар США
1,11/25/2023,88.8133,Доллар США
1,11/24/2023,88.1206,Доллар США
1,11/23/2023,88.1648,Доллар США
1,11/22/2023,87.8701,Доллар США
1,11/21/2023,88.4954,Доллар США
1,11/18/2023,89.1237,Доллар США
1,11/17/2023,88.9466,Доллар США
1,11/16/2023,89.4565,Доллар США
1,11/15/2023,91.2570,Доллар США
1,11/14/2023,92.1185,Доллар США
1,11/11/2023,92.0535,Доллар США
1,11/10/2023,91.9266,Доллар США
1,11/9/2023,92.1973,Доллар США
1,11/8/2023,92.4151,Доллар США
1,11/4/2023,93.0351,Доллар США
1,11/3/2023,93.1730,Доллар США
1,11/2/2023,93.2801,Доллар США
